"","Wi-1","Wi-2","Wi-3","HiN-1","H11-2","H11-3","hgnc_symbol"
"ENSG00000227232",50.5918263601362,45.1611530189815,47.3953386719918,75.1857504918925,43.3336163218976,50.8773135229714,NA
"ENSG00000278267",0,1.15797828253799,8.8177374273473,2.75069818872778,0,1.03831252087697,"MIR6859-1"
"ENSG00000238009",0.843197106002269,0,1.10221717841841,1.83379879248518,0,2.07662504175393,NA
"ENSG00000233750",0.843197106002269,2.31595656507598,4.40886871367365,9.16899396242592,14.1305270614883,6.2298751252618,"CICP27"
"ENSG00000268903",46.3758408301248,110.007936841109,92.5862429871467,81.6040462655907,105.507935392446,65.4136888152489,NA
"ENSG00000269981",32.0414900280862,47.4771095840575,114.630586555515,54.0970643783129,57.4641433833859,42.5708133559557,NA
"ENSG00000241860",3.37278842400908,3.47393484761396,6.61330307051048,8.25209456618333,3.76814054973022,9.3448126878927,NA
"ENSG00000279457",72.5149511161952,97.270175733191,94.7906773439835,99.0251347941999,112.102181354474,75.7968140240186,NA
"ENSG00000228463",0.843197106002269,3.47393484761396,5.51108589209206,2.75069818872778,0.942035137432556,1.03831252087697,"RPL23AP21"
"ENSG00000236679",0,2.31595656507598,3.30665153525524,0,0.942035137432556,0,"RPL23AP24"
"ENSG00000237094",48.0622350421294,25.4755222158357,91.4840258087283,50.4294667933426,30.1451243978418,36.3409382306939,NA
"ENSG00000250575",0,3.47393484761396,4.40886871367365,2.75069818872778,3.76814054973022,1.03831252087697,NA
"ENSG00000225972",1.68639421200454,2.31595656507598,1.10221717841841,0.916899396242592,0.942035137432556,6.2298751252618,"MTND1P23"
"ENSG00000225630",102.026849826275,90.322306037963,263.429905642001,187.047476833489,156.377832813804,134.980627714006,"MTND2P28"
"ENSG00000237973",245.37035784666,173.696742380698,427.660265226344,549.222738349313,323.118052139367,331.221694159752,"MTCO1P12"
"ENSG00000229344",6.74557684801816,17.3696742380698,16.5332576762762,16.5041891323667,22.6088432983813,18.6896253757854,"MTCO2P12"
"ENSG00000240409",3.37278842400908,2.31595656507598,9.91995460576572,6.41829577369814,3.76814054973022,5.19156260438484,"MTATP8P1"
"ENSG00000248527",3014.42965395811,2840.52072706568,10238.4953703286,6005.69104538898,5372.42638877787,5331.73479470323,"MTATP6P1"
"ENSG00000198744",3.37278842400908,3.47393484761396,18.737692033113,12.8365915473963,5.65221082459533,7.26818764613877,"MTCO3P12"
"ENSG00000228327",65.769374268177,40.5292398888296,94.7906773439835,71.5181529069222,41.4495460470325,51.9156260438484,NA
"ENSG00000237491",5.05918263601362,1.15797828253799,34.1687325309708,15.5872897361241,8.478316236893,7.26818764613877,NA
"ENSG00000230092",2.52959131800681,1.15797828253799,1.10221717841841,0.916899396242592,0,2.07662504175393,NA
"ENSG00000228794",129.85235432435,115.797828253799,146.594884729649,170.543287701122,140.363235477451,168.206628382069,"LINC01128"
"ENSG00000225880",7.58877395402043,9.2638262603039,17.6354748546946,7.33519516994074,13.1884919240558,5.19156260438484,NA
"ENSG00000272438",2.52959131800681,9.2638262603039,4.40886871367365,3.66759758497037,1.88407027486511,1.03831252087697,NA
"ENSG00000230699",8.4319710600227,5.78989141268994,9.91995460576572,14.6703903398815,3.76814054973022,4.15325008350787,NA
"ENSG00000223764",18.5503363320499,19.6856308031458,13.226606141021,16.5041891323667,6.59424596202789,1.03831252087697,"LINC02593"
"ENSG00000187634",32.0414900280862,25.4755222158357,5.51108589209206,14.6703903398815,16.956632473786,2.07662504175393,"SAMD11"
"ENSG00000188976",3870.27471655042,3069.80042700821,3475.29076355326,4129.71488067663,4430.39125134531,5504.0946731688,"NOC2L"
"ENSG00000187961",287.530213146774,317.286049415409,630.468226055332,704.178736314311,455.002971379924,339.528194326768,"KLHL17"
"ENSG00000187583",19.3935334380522,24.3175439332977,37.475384066226,35.7590764534611,28.2610541229767,15.5746878131545,"PLEKHN1"
"ENSG00000187642",0.843197106002269,12.7377611079179,8.8177374273473,6.41829577369814,12.2464567866232,9.3448126878927,"PERM1"
"ENSG00000272512",1.68639421200454,1.15797828253799,1.10221717841841,5.50139637745555,2.82610541229767,0,NA
"ENSG00000188290",143.343508020386,201.48822116161,63.9285963482679,132.033513058933,91.3774083309579,46.7240634394635,"HES4"
"ENSG00000187608",368.477135322992,479.403008970727,295.394203816135,325.49928566612,399.422898271404,324.991819034491,"ISG15"
"ENSG00000188157",7685.74162121069,4784.76626344697,6597.87203001262,13263.8666660453,7475.04881552733,8893.14674131122,"AGRN"
"ENSG00000217801",19.3935334380522,35.8973267586776,33.0665153525524,36.6759758497037,32.0291946727069,20.7662504175393,NA
"ENSG00000273443",1.68639421200454,0,3.30665153525524,3.66759758497037,0,0,NA
"ENSG00000131591",250.429540482674,328.865832240789,233.670041824704,339.252776609759,325.944157551664,272.037880469765,"C1orf159"
"ENSG00000272141",1.68639421200454,4.63191313015195,6.61330307051048,17.4210885286092,11.3044216491907,2.07662504175393,NA
"ENSG00000205231",7.58877395402043,4.63191313015195,0,2.75069818872778,4.71017568716278,5.19156260438484,"TTLL10-AS1"
"ENSG00000162571",6.74557684801816,10.4218045428419,2.20443435683683,4.58449698121296,5.65221082459533,3.1149375626309,"TTLL10"
"ENSG00000186891",20.2367305440545,38.2132833237536,11.0221717841841,16.5041891323667,27.3190189855441,13.4980627714006,"TNFRSF18"
"ENSG00000186827",3.37278842400908,2.31595656507598,0,4.58449698121296,0,1.03831252087697,"TNFRSF4"
