,Wi-1,Wi-2,Wi-3,H11-1,H11-2,H11-3,hgnc_symbol
ENSG00000264304,5.567959004,5.63259774,5.846904353,5.644691308,5.516311776,5.609230113,NA
ENSG00000266642,5.189162296,5.63259774,5.688194314,5.417635302,5.189162296,5.67365026,NA
ENSG00000167536,8.747909791,8.458320301,8.442954612,8.73020626,8.737686005,8.866506797,DHRS13
ENSG00000109118,10.60765984,10.26155964,10.6377033,10.51108372,10.44858866,10.50276038,PHF12
ENSG00000265845,5.189162296,5.445850141,5.439609499,5.584068768,5.516311776,5.432258496,LOC101927018
ENSG00000179761,10.44690999,10.9957924,10.97851038,11.95738846,12.19727553,11.67073487,PIPOX
ENSG00000063015,8.828250933,8.591122562,8.890799683,9.919339386,9.414467036,9.297980273,SEZ6
ENSG00000263781,5.765605161,5.551698105,5.189162296,5.417635302,5.589411128,5.189162296,NA
ENSG00000196535,10.17934045,8.982236279,10.31689713,10.43184779,9.408462524,10.61405392,MYO18A
ENSG00000221995,5.87622439,5.951347169,6.17303262,6.304721166,5.704791221,6.145113372,NA
ENSG00000178082,5.498743378,5.189162296,5.439609499,5.511936063,5.420739173,5.609230113,NA
ENSG00000108255,5.408278755,5.445850141,5.189162296,5.584068768,5.516311776,5.189162296,CRYBA1
ENSG00000108256,11.92045903,11.5417556,12.19702678,11.79003119,11.66037538,11.95508916,NUFIP2
ENSG00000264808,5.723345127,5.551698105,5.542906217,5.189162296,5.650840947,5.532547962,NA
ENSG00000160551,11.37779694,10.68766079,11.20965006,11.08545286,10.84731426,11.1904152,TAOK1
ENSG00000264031,5.189162296,5.189162296,5.798853599,5.417635302,5.650840947,5.189162296,NA
ENSG00000168792,6.918732968,6.721274326,7.183632711,7.414543767,7.292754954,7.143930448,ABHD15
ENSG00000167543,9.298963147,9.956197983,9.249496707,9.734176245,9.779351613,9.565166871,TP53I13
ENSG00000264290,5.567959004,5.445850141,5.972483347,5.697936966,5.420739173,5.432258496,NA
ENSG00000108262,10.80763343,10.79785344,10.72112344,10.91842973,11.13956028,11.50536589,GIT1
ENSG00000198720,8.924585394,9.256364227,9.809033928,9.723242634,9.6649209,10.01138937,ANKRD13B
ENSG00000167549,6.512027039,6.56723399,7.657842034,7.231693406,6.531201854,6.458485851,CORO6
ENSG00000264007,5.189162296,5.445850141,5.542906217,5.584068768,5.420739173,5.189162296,NA
ENSG00000141298,8.638338339,8.177635607,8.856695927,8.629435624,8.60675382,9.004880726,SSH2
ENSG00000176927,5.677261421,5.63259774,6.079118922,5.644691308,5.982207197,5.827866732,EFCAB5
ENSG00000126653,9.788397523,10.08805752,9.682919211,9.422625063,9.720856436,9.551225241,NSRP1
ENSG00000108576,5.626144188,5.551698105,5.189162296,5.789926876,5.839347655,5.189162296,SLC6A4
ENSG00000108578,11.10312236,11.02495679,10.96424966,11.03274226,11.18230602,11.2177243,BLMH
ENSG00000108582,11.09702473,10.33588802,11.10449758,11.10480801,10.75827648,10.99869485,CPD
ENSG00000108587,10.2490357,10.00096287,10.15741504,9.986164472,10.10265324,10.21813934,GOSR1
ENSG00000266733,5.408278755,5.189162296,5.542906217,5.584068768,5.189162296,5.532547962,NA
ENSG00000231870,5.189162296,5.63259774,5.189162296,5.417635302,5.589411128,5.730209027,KRT17P3
ENSG00000231421,5.804830675,6.411445051,5.972483347,5.417635302,5.704791221,5.432258496,NA
ENSG00000214719,7.421608631,6.607815711,7.073943415,7.007150823,6.630826934,6.713268189,NA
ENSG00000248121,7.014396201,6.310202819,6.704495357,6.703272891,6.440332858,6.611323327,NA
ENSG00000264943,5.408278755,5.445850141,5.439609499,5.417635302,5.189162296,5.532547962,NA
ENSG00000250462,8.54283271,8.667697541,8.461315394,8.266576173,8.406880918,8.382615684,NA
ENSG00000241631,5.408278755,5.189162296,5.846904353,5.417635302,5.516311776,5.189162296,RN7SL316P
ENSG00000264538,8.901744879,9.056638396,9.065058241,8.969397509,8.827779514,8.698778607,NA
ENSG00000265443,5.189162296,5.189162296,5.439609499,5.644691308,5.420739173,5.189162296,NA
ENSG00000263603,5.498743378,5.63259774,5.846904353,5.789926876,5.420739173,5.609230113,NA
ENSG00000280069,5.408278755,5.189162296,5.746412163,5.789926876,5.839347655,5.432258496,NA
ENSG00000176390,9.417905071,9.069191467,9.49912778,9.237160853,9.265145217,9.259257345,CRLF3
ENSG00000265791,5.408278755,5.700534186,5.933175411,6.032849889,5.589411128,5.67365026,NA
ENSG00000266490,6.33955448,6.919166992,6.334985373,6.405520444,6.531201854,6.253319146,NA
ENSG00000276250,5.408278755,5.445850141,5.189162296,5.189162296,5.420739173,5.609230113,NA
ENSG00000242439,5.408278755,5.63259774,5.688194314,5.189162296,5.516311776,5.189162296,RPS17P3
ENSG00000176208,9.423245566,8.975579556,9.792963985,9.361414243,8.784997592,8.948084184,ATAD5
ENSG00000172171,8.065198668,7.885091995,8.075413451,7.836152237,7.923035061,7.833325675,TEFM
ENSG00000184060,6.394500391,6.773987714,6.49456575,6.424489869,6.440332858,6.326693989,ADAP2
ENSG00000181481,8.464983156,8.744282044,8.371891223,8.305247822,8.369941701,8.288697973,RNF135
ENSG00000264456,5.909094875,5.81385455,5.846904353,5.868990502,6.013751239,5.87118716,NA
ENSG00000264743,5.189162296,5.445850141,5.688194314,5.417635302,5.189162296,5.432258496,DPRXP4
ENSG00000266340,5.189162296,5.551698105,5.189162296,5.584068768,5.420739173,5.189162296,NA
ENSG00000264148,5.189162296,5.445850141,5.621870739,5.584068768,5.650840947,5.189162296,NA
ENSG00000266865,5.841570422,6.226424016,6.142896563,6.00296225,6.128332198,5.87118716,NA
ENSG00000264107,6.301092839,6.70314671,6.142896563,6.325746463,6.662107077,6.053701401,NA
ENSG00000196712,9.895893894,9.589947425,9.871575918,9.883323585,9.54241026,10.05433728,NF1
ENSG00000126861,5.189162296,5.551698105,5.542906217,5.417635302,5.420739173,5.189162296,OMG
ENSG00000263535,5.723345127,5.99156911,6.111632181,5.905045407,6.101201255,6.278429636,NA
